exam,section,topic,concept
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,INTEREST,MIX_PROBLEM__INTEREST
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,INTEREST,SIMPLE_INTEREST
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,MENSURATION,PERIMETER_AREA_OF_2D_SHAPES
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,MENSURATION,SURFACE_AREA_VOLUME_OF_3D_SHAPES
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,MIXTURES_AND_ALLEGATIONS,ALLOY_BASED_PROBLEM
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,MIXTURES_AND_ALLEGATIONS,MILK_AND_WATER_PROBLEM
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,PERCENTAGE,PERCENTAGE
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,PERCENTAGE,PERCENTAGE_CHANGE
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,PROBABILITY,CARD_PROBLEMS
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,PROBABILITY,DICE_AND_COIN_PROBLEMS
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,PROBABILITY,DIVISIBILITY_PROBLEMS
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,PROBABILITY,PROBABILITY_WITH_REPLACEMENT
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,PROBABILITY,PROBABILITY_WITHOUT_REPLACEMENT
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,PROFIT_AND_LOSS,COST_PRICE_SELLING_PRICE
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,PROFIT_AND_LOSS,DISCOUNT_PROBLEMS
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,PROFIT_AND_LOSS,PROFIT_LOSS_PERCENTAGE
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,QUADRATIC_EQUATIONS,QUADRATIC_EQUATIONS
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,RATIO_AND_PROPORTION,AGE_PROBLEM
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,RATIO_AND_PROPORTION,PARTNERSHIP_PROBLEM
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,RATIO_AND_PROPORTION,PROPORTION
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,RATIO_AND_PROPORTION,RATIO
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,SERIES,COMPLETE_THE_SERIES
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,SERIES,MIXED_SERIES
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,SERIES,ODD_TERM_IN_SERIES
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,SIMPLIFICATION,ALGEBRAIC_FORMULAS
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,SIMPLIFICATION,BODMAS
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,SIMPLIFICATION,SURDS_AND_INDICES
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,TIME_AND_DISTANCE,BOAT_AND_STREAM
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,TIME_AND_DISTANCE,SPEED_TIME_AND_DISTANCE
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,TIME_AND_DISTANCE,TRAIN_PROBLEM
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,TIME_AND_WORK,EFFICIENCY_PROBLEM
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,TIME_AND_WORK,TIME_AND_WORK
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,VENN_DIAGRAM,VENN_DIAGRAM
IBPS_PO_PRELIMS,REASONING_ABILITY,BLOOD_RELATION,BLOOD_RELATION
IBPS_PO_PRELIMS,REASONING_ABILITY,CODED_INEQUALITIES,CODED_INEQUALITIES
IBPS_PO_PRELIMS,REASONING_ABILITY,CODING_DECODING,CODING_DECODING
IBPS_PO_PRELIMS,REASONING_ABILITY,DISTANCE_AND_DIRECTION,DISTANCE_AND_DIRECTION
IBPS_PO_PRELIMS,REASONING_ABILITY,INPUT_OUTPUT,INPUT_OUTPUT
IBPS_PO_PRELIMS,REASONING_ABILITY,LOGICAL_REASONING,LOGICAL_REASONING
IBPS_PO_PRELIMS,REASONING_ABILITY,PUZZLE,ARRANGEMENT__PUZZLE
IBPS_PO_PRELIMS,REASONING_ABILITY,PUZZLE,SEATING_ARRANGEMENT
IBPS_PO_PRELIMS,REASONING_ABILITY,SYLLOGISM,SYLLOGISM
PROGRAMMING_LANGUAGES,C,ARRAYS_AND_STRINGS,C_ARRAYS
